BL #	TRiP #	CG #	FBgn	Vector	Hairpin Loc.
27659	JF02738	CG4059	FBgn0001078	VALIUM10	attP2
35258	GL00148	CG6551	FBgn0001079	VALIUM22	attP2
	GL00705	CG6551	FBgn0001079	VALIUM22	attP40
31043	JF01490	CG6551	FBgn0001079	VALIUM1	attP2
31495	JF01579	CG6551	FBgn0001079	VALIUM1	attP2
38975	HMS01891	CG1500	FBgn0001083	VALIUM20	attP40
28307	JF02938	CG1500	FBgn0001083	VALIUM10	attP2
34321	HMS01308	CG17697	FBgn0001085	VALIUM20	attP2
31311	JF01258	CG17697	FBgn0001085	VALIUM1	attP2
31036	JF01481	CG17697	FBgn0001085	VALIUM1	attP2
38915	GL00687	CG4274	FBgn0001086	VALIUM22	attP2
34001	HMS00964	CG4274	FBgn0001086	VALIUM20	attP2
35805	GL00442	CG4274	FBgn0001086	VALIUM22	attP40
	HMS02181	CG4274	FBgn0001086	VALIUM20	attP2
	HMJ02068 	CG4274	FBgn0001086	VALIUM20	attP40
31768	HM04081	CG4274	FBgn0001086	VALIUM1	attP2
36842	GL01094	CG12055	FBgn0001091	VALIUM22	attP2
26302	JF02072	CG8893	FBgn0001092	VALIUM10	attP2
	HMS02138	CG10060	FBgn0001104	VALIUM20	attP40
34924	HMS01273	CG10060	FBgn0001104	VALIUM20	attP2
35407	GL00328	CG10060	FBgn0001104	VALIUM22	attP2
31133	JF01608	CG10060	FBgn0001104	VALIUM1	attP2
35041	HMS01455	CG10545	FBgn0001105	VALIUM20	attP2
31134	JF01609	CG10545	FBgn0001105	VALIUM1	attP2
27721	JF02803	CG9206	FBgn0001108	VALIUM10	attP2
34653	HMS01129	CG2204	FBgn0001122	VALIUM20	attP2
28010	JF02844	CG2204	FBgn0001122	VALIUM10	attP2
29576	JF03255	CG2835	FBgn0001123	VALIUM10	attP2
36768	HMS03029	CG8430	FBgn0001124	VALIUM20	attP2
	HMS02337	CG33133	FBgn0001133	VALIUM20	attP40
38384	HMS01853	CG7446	FBgn0001134	VALIUM20	attP40
29589	JF03268	CG7446	FBgn0001134	VALIUM10	attP2
38913	GL00685	CG17610	FBgn0001137	VALIUM22	attP2
34014	HMS00980	CG9656	FBgn0001138	VALIUM20	attP2
33746	HMS01085	CG9656	FBgn0001138	VALIUM20	attP2
34578	HMS01052	CG9656	FBgn0001138	VALIUM20	attP2
27658	JF02736	CG9656	FBgn0001138	VALIUM10	attP2
35759	HMS01506	CG8384	FBgn0001139	VALIUM20	attP2
	HMS02002	CG2718	FBgn0001142	VALIUM20	attP40
	HMS02197	CG1743	FBgn0001145	VALIUM20	attP40
28078	JF02915	CG2692	FBgn0001147	VALIUM10	attP2
29600	JF03279	CG3388	FBgn0001148	VALIUM10	attP2
36818	GL01039	CG10045	FBgn0001149	VALIUM22	attP2
34631	HMS01105	CG7952	FBgn0001150	VALIUM20	attP2
26742	JF02304	CG7952	FBgn0001150	VALIUM10	attP2
34326	HMS01313	CG6494	FBgn0001168	VALIUM20	attP2
27738	JF02822	CG6494	FBgn0001168	VALIUM10	attP2
34703	HMS01182	CG5460	FBgn0001169	VALIUM20	attP2
27315	JF02624	CG5460	FBgn0001169	VALIUM10	attP2
34704	HMS01183	CG9786	FBgn0001180	VALIUM20	attP2
29630	JF03309	CG9786	FBgn0001180	VALIUM10	attP2
35155	GL00023	CG3001	FBgn0001186	VALIUM22	attP2
28561	HM05047	CG3095	FBgn0001189	VALIUM10	attP2
34844	HMS00162	CG5499	FBgn0001197	VALIUM20	attP2
28966	HM05177	CG5499	FBgn0001197	VALIUM10	attP2
35659	GLV21024	CG1619	FBgn0001206	VALIUM21	attP2
29540	JF02261	CG7399	FBgn0001208	VALIUM10	attP2
32351	HMS00342	CG9983	FBgn0001215	VALIUM20	attP2
31303	JF01249	CG9983	FBgn0001215	VALIUM1	attP2
34527	HMS00888	CG8937	FBgn0001216	VALIUM20	attP2
	HMC02390	CG7756	FBgn0001217	VALIUM20	attP2
32402	HMS00397	CG4147	FBgn0001218	VALIUM20	attP2
34836	HMS00152	CG4264	FBgn0001219	VALIUM20	attP2
35684	GLV21049	CG4264	FBgn0001219	VALIUM21	attP2
28709	JF03136	CG4264	FBgn0001219	VALIUM10	attP2
	GL00698	CG5748	FBgn0001222	VALIUM22	attP2
27070	JF02415	CG5748	FBgn0001222	VALIUM10	attP2
	HMS02274	"CG4460,CG4456"	"FBgn0001223,FBgn00"	VALIUM20	attP40
35408	GL00329	CG4183	FBgn0001225	VALIUM22	attP2
33922	HMS00867	CG4466	FBgn0001226	VALIUM20	attP2
33007	HMS00807	CG4466	FBgn0001226	VALIUM20	attP2
35452	GL00377	CG4190	FBgn0001229	VALIUM22	attP2
33947	HMS00899	CG1242	FBgn0001233	VALIUM20	attP2
32996	HMS00796	CG1242	FBgn0001233	VALIUM20	attP2
34637	HMS01112	CG17117	FBgn0001235	VALIUM20	attP2
27655	JF02733	CG17117	FBgn0001235	VALIUM10	attP2
	HMS02273	CG7176	FBgn0001248	VALIUM20	attP40
38958	HMS01872	CG9623	FBgn0001250	VALIUM20	attP40
27544	JF02695	CG9623	FBgn0001250	VALIUM10	attP2
35235	GL00120	CG1934	FBgn0001254	VALIUM22	attP2
33640	HMS00039	CG10160	FBgn0001258	VALIUM20	attP2
	HMS02209	CG17835	FBgn0001269	VALIUM20	attP2
37545	GLV21092	CG13201	FBgn0001276	VALIUM21	attP2
	GL01274	CG7933	FBgn0001280	VALIUM22	attP2
	HMC02391	CG8579	FBgn0001285	VALIUM20	attP2
31595	JF01184	CG2275	FBgn0001291	VALIUM1	attP2
33379	HMS00254	CG33956	FBgn0001297	VALIUM20	attP2
31391	JF01380	CG33956	FBgn0001297	VALIUM1	attP2
31322	JF01273	CG33956	FBgn0001297	VALIUM1	attP2
27722	JF02804	CG33956	FBgn0001297	VALIUM10	attP2
	GL00315	CG7210	FBgn0001301	VALIUM22	attP2
31251	JF01768	CG7210	FBgn0001301	VALIUM1	attP2
35770	HMS01519	CG7765	FBgn0001308	VALIUM20	attP2
35409	GL00330	CG7765	FBgn0001308	VALIUM22	attP2
25898	JF01939	CG7765	FBgn0001308	VALIUM10	attP2
36721	HMS01612	CG17046	FBgn0001316	VALIUM20	attP2
28313	JF02944	CG17046	FBgn0001316	VALIUM10	attP2
31916	JF02206	CG10197	FBgn0001319	VALIUM10	attP2
34705	HMS01184	CG4717	FBgn0001320	VALIUM20	attP2
27259	JF02544	CG4717	FBgn0001320	VALIUM10	attP2
36664	HMS01552	CG4761	FBgn0001323	VALIUM20	attP2
34588	HMS01062	CG8491	FBgn0001324	VALIUM20	attP2
34632	HMS01106	CG3340	FBgn0001325	VALIUM20	attP2
27666	JF02745	CG3340	FBgn0001325	VALIUM10	attP2
32347	HMS00338	CG3923	FBgn0001337	VALIUM20	attP2
	HMS02313	CG6189	FBgn0001341	VALIUM20	attP2
28687	JF03102	CG9659	FBgn0001404	VALIUM10	attP2
33380	HMS00255	CG1639	FBgn0001491	VALIUM20	attP2
35308	HMS01424	CG1666	FBgn0001565	VALIUM20	attP2
28991	JF02921	CG1666	FBgn0001565	VALIUM10	attP2
31201	JF01719	CG10988	FBgn0001612	VALIUM1	attP2
36771	JF02287	CG1725	FBgn0001624	VALIUM20	attP2
35772	HMS01521	CG1725	FBgn0001624	VALIUM20	attP2
33620	HMS00014	CG1725	FBgn0001624	VALIUM20	attP2
35286	GL00188	CG1725	FBgn0001624	VALIUM22	attP2
39035	HMS01954	CG1725	FBgn0001624	VALIUM20	attP40
34854	HMS00172	CG1725	FBgn0001624	VALIUM20	attP2
31520	JF01076	CG1725	FBgn0001624	VALIUM1	attP2
31521	JF01077	CG1725	FBgn0001624	VALIUM1	attP2
25780	JF01365	CG1725	FBgn0001624	VALIUM10	attP2
31181	JF01694	CG1725	FBgn0001624	VALIUM1	attP2
33629 - pulle	HMS00024	-	FBgn0001624 original	VALIUM20	attP2
32514	HMS00518	CG9078	FBgn0001941	VALIUM20	attP2
33970	HMS00927	CG9075	FBgn0001942	VALIUM20	attP2
31246	JF01763	CG8978	FBgn0001961	VALIUM1	attP2
34833	HMS00149	CG7793	FBgn0001965	VALIUM20	attP2
31275	JF01216	CG7793	FBgn0001965	VALIUM1	attP2
31174	JF01680	CG7793	FBgn0001965	VALIUM1	attP2
31597	JF01186	CG7793	FBgn0001965	VALIUM1	attP2
	HMC02348	CG4180	FBgn0001977	VALIUM20	attP2
34063	HMS00025	CG3758	FBgn0001981	VALIUM20	attP2
28514	JF03134	CG3758	FBgn0001981	VALIUM10	attP2
38284	HMS01737	CG3903	FBgn0001987	VALIUM20	attP40
31869	HM05262	CG3903	FBgn0001987	VALIUM10	attP2
35680	GLV21045	CG4148	FBgn0001990	VALIUM21	attP2
33413	HMS00294	CG4894	FBgn0001991	VALIUM20	attP2
25830	JF01848	CG4894	FBgn0001991	VALIUM10	attP2
37470	GL00331	CG7664	FBgn0001994	VALIUM22	attP2
31896	JF02184	CG7664	FBgn0001994	VALIUM10	attP2
34962	HMS00596	CG10699	FBgn0002023	VALIUM20	attP2
26227	JF02125	CG10699	FBgn0002023	VALIUM10	attP2
32912	HMS00702	CG10691	FBgn0002031	VALIUM20	attP2
32404	HMS00399	CG10691	FBgn0002031	VALIUM20	attP2
28548	HM05034	CG10084	FBgn0002044	VALIUM10	attP2
38989	HMS01905	CG2671	FBgn0002121	VALIUM20	attP40
35773	HMS01522	CG2671	FBgn0002121	VALIUM20	attP2
38206	GL00645	CG2671	FBgn0002121	VALIUM22	attP40
31517	JF01073	CG2671	FBgn0002121	VALIUM1	attP2
31089	JF01553	CG2671	FBgn0002121	VALIUM1	attP2
28594	HM05082	CG5504	FBgn0002174	VALIUM10	attP2
	HMS02241	CG1828	FBgn0002183	VALIUM20	attP40
35149	GL00017	CG1828	FBgn0002183	VALIUM22	attP2
	HMS02240	CG1828	FBgn0002183	VALIUM20	attP40
34344	HMS01332	CG1828	FBgn0002183	VALIUM20	attP2
32479 - pulle	HMS00481	-	FBgn0002283 original	VALIUM20	attP2
34801	HMS00110	CG4097	FBgn0002284	VALIUM20	attP2
35134	GL00001	CG2048	FBgn0002413	VALIUM22	attP2
31763	HM04075	CG2048	FBgn0002413	VALIUM1	attP2
27719	JF02800	CG2048	FBgn0002413	VALIUM10	attP2
32352	HMS00343	CG9484	FBgn0002431	VALIUM20	attP2
32962	HMS00757	CG12755	FBgn0002440	VALIUM20	attP2
35052	HMS01466	CG5954	FBgn0002441	VALIUM20	attP2
28076	JF02913	CG5954	FBgn0002441	VALIUM10	attP2
35392	GL00312	CG10522	FBgn0002466	VALIUM22	attP2
35206	GL00082	CG17743	FBgn0002521	VALIUM22	attP2
31609	JF01393	CG17743	FBgn0002521	VALIUM1	attP2
26753	JF02317	CG1264	FBgn0002522	VALIUM10	attP2
36617	GL00577	CG6944	FBgn0002525	VALIUM22	attP2
31605	JF01389	CG6944	FBgn0002525	VALIUM1	attP2
28071	JF02908	CG10236	FBgn0002526	VALIUM10	attP2
32455	HMS00454	CG2044	FBgn0002535	VALIUM20	attP2
34980	HMS01389	CG2684	FBgn0002542	VALIUM20	attP2
34589	HMS01063	CG5481	FBgn0002543	VALIUM20	attP2
27317	JF02626	CG5481	FBgn0002543	VALIUM10	attP2
	HMS02187	CG11770	FBgn0002552	VALIUM20	attP40
	HMC02375	CG11770	FBgn0002552	VALIUM20	attP2
27058	JF02399	CG3839	FBgn0002561	VALIUM10	attP2
27042	JF02368	CG4178	FBgn0002563	VALIUM10	attP2
34871	HMS00190	CG18028	FBgn0002566	VALIUM20	attP2
38956	HMS01870	CG8024	FBgn0002567	VALIUM20	attP40
28002	JF02836	CG8024	FBgn0002567	VALIUM10	attP2
27287	JF02575	CG32120	FBgn0002573	VALIUM10	attP2
27985	JF02221	CG1689	FBgn0002576	VALIUM10	attP2
	HMS02308	CG8342	FBgn0002578	VALIUM20	attP40
	HMC02349	CG2746	FBgn0002607	VALIUM20	attP2
25977	JF01999	CG8346	FBgn0002609	VALIUM10	attP2
35410	GL00332	CG6779	FBgn0002622	VALIUM22	attP2
31625	JF01410	CG6779	FBgn0002622	VALIUM1	attP2
	HMC02350	CG7939	FBgn0002626	VALIUM20	attP2
29378	JF03310	CG6099	FBgn0002629	VALIUM10	attP2
26201	JF02099	CG6096	FBgn0002631	VALIUM10	attP2
35703	GLV21068	CG8361	FBgn0002633	VALIUM21	attP2
29327	JF02489	CG8361	FBgn0002633	VALIUM10	attP2
36067	GL00485	CG10480	FBgn0002638	VALIUM22	attP40
28046	JF02881	CG8118	FBgn0002643	VALIUM10	attP2
32939	HMS00733	CG1483	FBgn0002645	VALIUM20	attP2
35574	GL00116	CG4711	FBgn0002652	VALIUM22	attP2
36587	GL00547	CG4965	FBgn0002673	VALIUM22	attP2
33044	HMS00642	CG4965	FBgn0002673	VALIUM20	attP2
	GL01242	CG5303	FBgn0002715	VALIUM22	attP2
	GL01234	CG10120	FBgn0002719	VALIUM22	attP2
38256	HMS01700	CG10120	FBgn0002719	VALIUM20	attP40
26205	JF02103	CG1705	FBgn0002723	VALIUM10	attP2
26202	JF02100	-	FBgn0002733 original	VALIUM10	attP2
26203	JF02101	CG8328	FBgn0002734	VALIUM10	attP2
25978	JF02000	CG8333	FBgn0002735	VALIUM10	attP2
35453	GL00378	CG9401	FBgn0002736	VALIUM22	attP2
28931	HM05142	CG9401	FBgn0002736	VALIUM10	attP2
27547	JF02698	CG5596	FBgn0002772	VALIUM10	attP2
36694	HMS01583	CG2184	FBgn0002773	VALIUM20	attP2
31543	JF01104	CG2184	FBgn0002773	VALIUM1	attP2
31544	JF01106	CG2184	FBgn0002773	VALIUM1	attP2
34864	HMS00182	CG11680	FBgn0002774	VALIUM20	attP2
35272	GL00170	CG8631	FBgn0002775	VALIUM22	attP2
38927	GL01021	CG2050	FBgn0002780	VALIUM22	attP40
35664	GLV21029	CG2050	FBgn0002780	VALIUM21	attP2
28314	JF02945	CG2050	FBgn0002780	VALIUM10	attP2
32995	HMS00795	CG32491	FBgn0002781	VALIUM20	attP2
33907	HMS00849	CG32491	FBgn0002781	VALIUM20	attP2
35630	GL00477	CG18740	FBgn0002783	VALIUM22	attP40
34919	HMS01267	CG18740	FBgn0002783	VALIUM20	attP2
35662	GLV21027	CG18740	FBgn0002783	VALIUM21	attP2
35411	GL00333	CG3416	FBgn0002787	VALIUM22	attP2
31567	JF01140	CG3416	FBgn0002787	VALIUM1	attP2
34963	HMS00630	CG4696	FBgn0002789	VALIUM20	attP2
	HMS02023	CG3060	FBgn0002791	VALIUM20	attP40
36579	GL00539	CG11308	FBgn0002842	VALIUM22	attP40
38210	GL00649	CG11308	FBgn0002842	VALIUM22	attP2
36730	HMS01621	CG11308	FBgn0002842	VALIUM20	attP2
35044	HMS01458	CG12047	FBgn0002873	VALIUM20	attP2
38190	GL00629	CG12047	FBgn0002873	VALIUM22	attP40
28074	JF02911	CG12047	FBgn0002873	VALIUM10	attP2
35652	GLV21017	"CG10890,CG13399"	"FBgn0002887,FBgn00"	VALIUM21	attP2
31052	JF01500	"CG10890,CG13399"	"FBgn0002887,FBgn00"	VALIUM1	attP2
31330	JF01287	CG6920	FBgn0002906	VALIUM1	attP2
31331	JF01288	CG6920	FBgn0002906	VALIUM1	attP2
34951	HMS00381	"CG8601,CG42307"	"FBgn0002909,FBgn02"	VALIUM20	attP2
34873	HMS00192	"CG8601,CG42307"	"FBgn0002909,FBgn02"	VALIUM20	attP2
35053	HMS01467	CG9045	FBgn0002914	VALIUM20	attP2
26237	JF02135	CG9045	FBgn0002914	VALIUM10	attP2
25808	JF01826	CG1517	FBgn0002917	VALIUM10	attP2
32913	HMS00703	CG5670	FBgn0002921	VALIUM20	attP2
33646	HMS00047	CG5670	FBgn0002921	VALIUM20	attP2
28073	JF02910	CG5670	FBgn0002921	VALIUM10	attP2
31899	JF02187	CG10250	FBgn0002922	VALIUM10	attP2
26204	JF02102	CG11450	FBgn0002931	VALIUM10	attP2
35412	GL00334	CG11988	FBgn0002932	VALIUM22	attP2
26023	JF02048	"CG11988,CR31429"	"FBgn0002932,FBgn00"	VALIUM10	attP2
34994	HMS01404	CG9347	FBgn0002937	VALIUM20	attP2
27693	JF02773	CG5125	FBgn0002938	VALIUM10	attP2
	HMC02392	CG31783	FBgn0002939	VALIUM20	attP2
31647	JF01438	CG4550	FBgn0002940	VALIUM1	attP2
31648	JF01439	CG4550	FBgn0002940	VALIUM1	attP2
29344	JF02506	CG6534	FBgn0002941	VALIUM10	attP2
33973	HMS00930	CG5637	FBgn0002962	VALIUM20	attP2
32985	HMS00785	CG5637	FBgn0002962	VALIUM20	attP2
28300	JF02931	CG5637	FBgn0002962	VALIUM10	attP2
38215	GL00656	CG1634	FBgn0002968	VALIUM22	attP40
37496	HMS01638	CG1634	FBgn0002968	VALIUM20	attP40
28724	JF03151	CG1634	FBgn0002968	VALIUM10	attP2
35045	HMS01459	CG3779	FBgn0002973	VALIUM20	attP2
31182	JF01695	CG3779	FBgn0002973	VALIUM1	attP2
34328	HMS01315	CG3851	FBgn0002985	VALIUM20	attP2
28295	JF02925	CG3851	FBgn0002985	VALIUM10	attP2
33707	HMS00585	CG3736	FBgn0002989	VALIUM20	attP2
31047	JF01494	CG3736	FBgn0002989	VALIUM1	attP2
31329	JF01286	CG3736	FBgn0002989	VALIUM1	attP2
34706	HMS01185	CG1133	FBgn0003002	VALIUM20	attP2
28347	JF02983	CG3029	FBgn0003008	VALIUM10	attP2
36633	GL00593	CG3134	FBgn0003009	VALIUM22	attP2
25824	JF01842	CG7411	FBgn0003011	VALIUM10	attP2
